택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
001P10001,경남 통영시,1,창원 우편집중국,0,0,11,1,중부권 광역우편물류센터,0,0,0,0,순천 집중과,0,24,0,0,전남 여수시,0,30.0,0
001P10002,경기 구리시,1,의정부 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,18,0,0,충남 당진시,0,109.4,0
001P10003,경남 김해시,1,부산 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,강릉 우편집중국,0,18,0,0,강원 동해시,0,71.8,0
001P10004,광주 서구,1,광주 우편집중국,0,0,10,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,23,0,0,울산 북구,0,30.0,0
001P10005,경기 과천시,1,성남 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,18,0,0,경북 경산시,0,54.099999999999994,0
001P10006,전남 고흥군,1,순천 집중과,0,0,3,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,16,0,0,서울 성북구,0,35.7,0
001P10007,광주 북구,1,광주 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,17,0,0,전북 김제시,0,284.1,0
001P10008,부산 연제구,1,부산 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,20,0,0,충북 진천군,0,71.0,0
001P10009,대전 대덕구,1,대전 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,20,0,0,충남 금산군,0,153.8,0
001P10010,전남 신안군,1,영암 우편집중국,0,0,3,1,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,16,0,0,충북 청주시 상당구,0,64.7,0
001P10011,부산 동구,1,부산 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,17,0,0,충북 옥천군,0,135.1,0
001P10012,대전 유성구,1,대전 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,17,0,0,경남 하동군,0,72.9,0
001P10013,경기 부천시,1,부천 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,17,0,0,경남 합천군,0,149.4,0
001P10014,강원 양양군,1,강릉 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,17,0,0,서울 중구,0,83.6,0
001P10015,경남 거창군,1,진주 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,20,0,0,세종특별자치시,0,56.1,0
001P10016,경남 함양군,1,진주 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,순천 집중과,0,20,0,0,전남 고흥군,0,58.2,0
001P10017,울산 중구,1,울산 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,15,0,0,경북 경산시,0,54.099999999999994,0
001P10018,강원 영월군,1,원주 우편집중국,0,0,3,1,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,16,0,0,부산 동구,0,35.2,0
001P10019,경남 창원시 진해구,1,창원 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,포항 우편집중국,0,21,0,0,경북 포항시 남구,0,30.0,0
001P10020,서울 동대문구,1,동서울 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,27,0,0,부산 영도구,0,69.7,0
002P10001,경북 고령군,2,대구 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,23,0,0,경북 의성군,0,70.3,0
002P10002,강원 횡성군,2,원주 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,19,0,0,전남 나주시,0,139.5,0
002P10003,전남 진도군,2,영암 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,16,0,0,대구 북구,0,30.0,0
002P10004,충남 홍성군,2,천안 우편집중국,0,0,10,1,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,24,0,0,강원 정선군,0,123.69999999999999,0
002P10005,경북 포항시 남구,2,포항 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,16,0,0,경북 영주시,0,56.6,0
002P10006,경기 용인시 처인구,2,성남 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,21,0,0,경북 영양군,0,90.4,0
002P10007,서울 성동구,2,동서울 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,28,0,0,대전 서구,0,46.5,0
002P10008,경남 창녕군,2,창원 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,부산 우편집중국,0,19,0,0,부산 동래구,0,60.4,0
002P10009,전남 고흥군,2,순천 집중과,0,0,3,2,중부권 광역우편물류센터,0,0,0,0,순천 집중과,0,17,0,0,전남 보성군,0,83.5,0
002P10010,대구 북구,2,대구 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,16,0,0,충북 괴산군,0,141.89999999999998,0
002P10011,서울 은평구,2,고양 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,청주 우편집중국,0,18,0,0,충북 충주시,0,43.7,0
002P10012,울산 동구,2,울산 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,16,0,0,경남 의령군,0,52.6,0
002P10013,경기 안산시 단원구,2,부천 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,22,0,0,충북 단양군,0,97.8,0
002P10014,강원 원주시,2,원주 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,16,0,0,대구 서구,0,42.8,0
002P10015,경북 김천시,2,대구 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,강릉 우편집중국,0,21,0,0,강원 양양군,0,67.6,0
002P10016,경기 시흥시,2,부천 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,20,0,0,경남 창원시 성산구,0,75.19999999999999,0
002P10017,경남 하동군,2,진주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,20,0,0,서울 용산구,0,83.6,0
002P10018,경기 가평군,2,동서울 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,28,0,0,서울 영등포구,0,35.5,0
002P10019,대전 중구,2,대전 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,19,0,0,전북 김제시,0,284.1,0
002P10020,서울 광진구,2,동서울 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,16,0,0,전북 정읍시,0,243.60000000000002,0
002P10021,강원 양구군,2,원주 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,22,0,0,전북 전주시 덕진구,0,190.4,0
002P10022,경기 평택시,2,수원 우편집중국,0,0,12,1,중부권 광역우편물류센터,0,0,0,0,의정부 우편집중국,0,26,0,0,강원 철원군,0,55.2,0
002P10023,부산 남구,2,부산 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,18,0,0,울산 동구,0,30.0,0
002P10024,경기 시흥시,2,부천 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,20,0,0,경남 창녕군,0,74.6,0
002P10025,충남 부여군,2,대전 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,의정부 우편집중국,0,22,0,0,경기 포천시,0,52.5,0
002P10026,대구 달서구,2,대구 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,19,0,0,울산 북구,0,30.0,0
002P10027,전남 영광군,2,광주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,20,0,0,경북 청송군,0,90.4,0
002P10028,대구 달성군,2,대구 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,20,0,0,서울 금천구,0,56.5,0
002P10029,대구 동구,2,대구 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,19,0,0,경기 안산시 상록구,0,71.1,0
002P10030,서울 관악구,2,성남 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,20,0,0,부산 기장군,0,64.7,0
003P10001,경남 함양군,3,진주 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,22,0,0,서울 강서구,0,35.5,0
003P10002,충북 청주시 서원구,3,청주 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,17,0,0,서울 종로구,0,83.6,0
