택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
001P10001,충남 아산시,1,45,1,천안 우편집중국,4,16,133,1,중부권 광역우편물류센터,25,49,53,1,대전 우편집중국,53,65,102,1,충남 청양군,0,0
001P10002,광주 서구,1,150,1,광주 우편집중국,11,23,199,3,중부권 광역우편물류센터,36,60,218,13,성남 우편집중국,75,87,43,4,경기 성남시 중원구,0,0
001P10003,전북 부안군,1,270,2,진주 우편집중국,19,31,202,21,중부권 광역우편물류센터,44,88,253,14,부천 우편집중국,105,117,68,4,경기 안산시 단원구,0,0
001P10004,경기 안산시 상록구,1,71,2,부천 우편집중국,6,18,253,7,중부권 광역우편물류센터,35,59,248,5,동서울 우편집중국,76,88,51,1,경기 하남시,0,0
001P10005,충남 태안군,1,128,1,천안 우편집중국,10,22,133,3,중부권 광역우편물류센터,31,55,253,4,부천 우편집중국,72,84,36,1,경기 부천시,0,0
001P10006,서울 도봉구,1,64,1,의정부 우편집중국,5,17,261,3,중부권 광역우편물류센터,34,58,295,7,부산 우편집중국,78,90,35,2,부산 동구,0,0
001P10007,강원 원주시,1,30,1,원주 우편집중국,3,15,256,1,중부권 광역우편물류센터,32,56,368,3,강릉 우편집중국,81,93,68,1,강원 양양군,0,0
001P10008,대구 수성구,1,50,1,대구 우편집중국,4,16,192,1,중부권 광역우편물류센터,29,53,253,2,부천 우편집중국,70,82,74,1,인천 동구,0,0
001P10009,경기 용인시 처인구,1,64,1,성남 우편집중국,5,17,218,1,중부권 광역우편물류센터,32,56,229,1,수원 우편집중국,71,83,105,1,경기 평택시,0,0
001P10010,서울 광진구,1,30,1,동서울 우편집중국,3,15,248,1,중부권 광역우편물류센터,32,56,53,2,대전 우편집중국,60,72,46,1,대전 유성구,0,0
001P10011,전북 부안군,1,270,2,진주 우편집중국,19,31,202,21,중부권 광역우편물류센터,44,88,100,8,청주 우편집중국,95,107,44,3,충북 충주시,0,0
001P10012,강원 홍천군,1,81,1,원주 우편집중국,6,18,256,4,중부권 광역우편물류센터,35,59,261,3,의정부 우편집중국,76,88,64,1,서울 강북구,0,0
001P10013,경기 양주시,1,38,2,의정부 우편집중국,4,16,261,2,중부권 광역우편물류센터,33,57,202,4,진주 우편집중국,70,82,150,1,전북 진안군,0,0
001P10014,경기 안산시 상록구,1,71,2,부천 우편집중국,6,18,253,7,중부권 광역우편물류센터,35,59,202,8,진주 우편집중국,72,84,73,3,경남 하동군,0,0
001P10015,부산 연제구,1,60,1,부산 우편집중국,5,17,295,2,중부권 광역우편물류센터,37,61,202,10,진주 우편집중국,74,86,306,1,전북 군산시,0,0
