택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,경북 고령군,1,80,1,대구 우편집중국,6,18,192,3,중부권 광역우편물류센터,31,55,100,1,청주 우편집중국,62,74,44,1,충북 청주시 흥덕구,0,0
001P10002,강원 태백시,1,227,1,원주 우편집중국,16,28,256,17,중부권 광역우편물류센터,45,89,268,3,고양 우편집중국,107,119,42,4,서울 마포구,0,0
001P10003,경북 봉화군,1,57,1,안동 우편집중국,5,17,216,2,중부권 광역우편물류센터,31,55,318,2,울산 우편집중국,76,88,65,1,부산 기장군,0,0
001P10004,강원 철원군,1,55,1,의정부 우편집중국,5,17,261,2,중부권 광역우편물류센터,34,58,261,4,의정부 우편집중국,75,87,68,2,경기 의정부시,0,0
001P10005,경남 창원시 성산구,1,75,2,창원 우편집중국,6,18,251,3,중부권 광역우편물류센터,35,59,218,7,성남 우편집중국,74,86,56,2,서울 관악구,0,0
001P10006,대전 유성구,1,46,1,대전 우편집중국,4,16,53,1,중부권 광역우편물류센터,20,44,251,1,창원 우편집중국,61,73,80,1,경남 창원시 진해구,0,0
001P10007,부산 중구,1,70,1,부산 우편집중국,6,18,295,5,중부권 광역우편물류센터,38,62,133,10,천안 우편집중국,71,83,164,2,충북 영동군,0,0
001P10008,경남 밀양시,1,74,1,부산 우편집중국,6,18,295,5,중부권 광역우편물류센터,38,62,290,5,영암 우편집중국,81,93,45,2,전남 목포시,0,0
001P10009,충북 충주시,1,44,1,청주 우편집중국,4,16,100,1,중부권 광역우편물류센터,23,47,256,1,원주 우편집중국,64,76,81,1,강원 홍천군,0,0
001P10010,광주 광산구,1,202,1,광주 우편집중국,14,26,199,8,중부권 광역우편물류센터,39,63,202,17,진주 우편집중국,76,88,34,3,경남 진주시,0,0
001P10011,서울 중구,1,84,1,동서울 우편집중국,7,19,248,4,중부권 광역우편물류센터,36,60,248,7,동서울 우편집중국,77,89,213,1,경기 가평군,0,0
001P10012,인천 강화군,1,96,1,부천 우편집중국,7,19,253,8,중부권 광역우편물류센터,36,60,268,7,고양 우편집중국,78,90,30,1,경기 고양시 일산서구,0,0
001P10013,강원 횡성군,1,54,1,원주 우편집중국,5,17,256,2,중부권 광역우편물류센터,34,58,261,4,의정부 우편집중국,75,87,55,1,강원 철원군,0,0
001P10014,경남 사천시,1,42,1,진주 우편집중국,4,16,202,1,중부권 광역우편물류센터,29,53,295,1,부산 우편집중국,73,85,34,1,부산 강서구,0,0
001P10015,경북 영덕군,1,30,1,포항 우편집중국,3,15,271,1,중부권 광역우편물류센터,33,57,295,2,부산 우편집중국,77,89,34,2,부산 강서구,0,0
001P10016,경기 안산시 단원구,1,68,1,부천 우편집중국,6,18,253,5,중부권 광역우편물류센터,35,59,216,5,안동 우편집중국,73,85,90,1,경북 청송군,0,0
001P10017,충남 태안군,1,128,1,천안 우편집중국,10,22,133,4,중부권 광역우편물류센터,31,55,218,2,성남 우편집중국,70,82,88,1,서울 구로구,0,0
001P10018,경기 여주시,1,75,1,원주 우편집중국,6,18,256,3,중부권 광역우편물류센터,35,59,218,7,성남 우편집중국,74,86,56,1,서울 금천구,0,0
001P10019,부산 부산진구,1,70,1,부산 우편집중국,6,18,295,5,중부권 광역우편물류센터,38,62,261,9,의정부 우편집중국,79,91,48,1,서울 중랑구,0,0
001P10020,서울 강북구,1,64,1,의정부 우편집중국,5,17,261,2,중부권 광역우편물류센터,34,58,218,5,성남 우편집중국,73,85,94,1,경기 이천시,0,0
001P10021,경기 시흥시,1,53,1,부천 우편집중국,5,17,253,2,중부권 광역우편물류센터,34,58,248,5,동서울 우편집중국,75,87,84,1,서울 성동구,0,0
001P10022,전남 무안군,1,63,1,영암 우편집중국,5,17,290,2,중부권 광역우편물류센터,36,60,192,4,대구 우편집중국,73,85,84,1,경북 군위군,0,0
001P10023,경북 영주시,1,57,1,안동 우편집중국,5,17,216,2,중부권 광역우편물류센터,31,55,251,3,창원 우편집중국,72,84,136,1,경남 통영시,0,0
001P10024,경남 남해군,1,73,1,진주 우편집중국,6,18,202,3,중부권 광역우편물류센터,31,55,251,3,창원 우편집중국,72,84,136,1,경남 거제시,0,0
001P10025,경남 창원시 성산구,1,75,2,창원 우편집중국,6,18,251,3,중부권 광역우편물류센터,35,59,268,4,고양 우편집중국,77,89,42,2,서울 마포구,0,0
001P10026,충남 서천군,1,156,1,대전 우편집중국,11,23,53,8,중부권 광역우편물류센터,27,51,248,1,동서울 우편집중국,68,80,54,1,서울 강동구,0,0
002P10001,세종특별자치시,2,56,1,대전 우편집중국,6,18,53,2,중부권 광역우편물류센터,22,46,53,1,대전 우편집중국,50,62,156,1,충남 서천군,0,0
002P10002,충남 논산시,2,77,2,대전 우편집중국,7,19,53,4,중부권 광역우편물류센터,23,47,100,1,청주 우편집중국,54,66,71,1,충북 진천군,0,0
002P10003,전남 나주시,2,140,2,광주 우편집중국,11,23,199,5,중부권 광역우편물류센터,36,60,216,6,안동 우편집중국,74,86,57,2,경북 봉화군,0,0
002P10004,강원 화천군,2,108,2,원주 우편집중국,9,21,256,9,중부권 광역우편물류센터,38,62,100,3,청주 우편집중국,69,81,44,1,충북 충주시,0,0
002P10005,전북 전주시 완산구,2,214,1,진주 우편집중국,16,28,202,13,중부권 광역우편물류센터,41,65,253,11,부천 우편집중국,82,94,36,2,서울 영등포구,0,0
002P10006,부산 부산진구,2,70,2,부산 우편집중국,7,19,295,7,중부권 광역우편물류센터,39,63,202,17,진주 우편집중국,76,88,82,1,경남 산청군,0,0
002P10007,강원 양구군,2,108,1,원주 우편집중국,9,21,256,9,중부권 광역우편물류센터,38,62,202,14,진주 우편집중국,75,87,284,1,전북 김제시,0,0
002P10008,서울 광진구,2,30,1,동서울 우편집중국,4,16,248,2,중부권 광역우편물류센터,33,57,216,3,안동 우편집중국,71,83,30,1,경북 안동시,0,0
002P10009,강원 화천군,2,108,2,원주 우편집중국,9,21,256,9,중부권 광역우편물류센터,38,62,192,6,대구 우편집중국,75,87,55,2,경북 칠곡군,0,0
002P10010,전남 보성군,2,84,1,순천 집중과,8,20,233,5,중부권 광역우편물류센터,36,60,202,9,진주 우편집중국,73,85,102,1,경남 함양군,0,0
002P10011,부산 동래구,2,60,1,부산 우편집중국,6,18,295,5,중부권 광역우편물류센터,38,62,199,9,광주 우편집중국,75,87,108,1,전남 함평군,0,0
002P10012,경기 파주시,2,48,1,고양 우편집중국,5,17,268,3,중부권 광역우편물류센터,35,59,261,5,의정부 우편집중국,76,88,53,1,경기 구리시,0,0
002P10013,서울 노원구,2,64,1,의정부 우편집중국,6,18,261,3,중부권 광역우편물류센터,35,59,295,3,부산 우편집중국,79,91,70,1,부산 서구,0,0
