택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,경기 시흥시,1,53,2,부천 우편집중국,5,17,253,7,중부권 광역우편물류센터,34,58,248,5,동서울 우편집중국,75,87,84,1,서울 성동구,93
001P10002,충남 공주시,1,76,1,대전 우편집중국,6,18,53,3,중부권 광역우편물류센터,22,46,253,1,부천 우편집중국,63,75,66,1,인천 옹진군,79
001P10003,경기 연천군,1,55,1,의정부 우편집중국,5,17,261,3,중부권 광역우편물류센터,34,58,229,3,수원 우편집중국,73,85,86,2,경기 오산시,91
001P10004,서울 성동구,1,84,1,동서울 우편집중국,7,19,248,3,중부권 광역우편물류센터,36,60,192,13,대구 우편집중국,73,85,88,3,경북 성주군,91
001P10005,광주 광산구,1,202,1,광주 우편집중국,14,26,199,11,중부권 광역우편물류센터,39,63,199,12,광주 우편집중국,76,88,71,1,전남 화순군,93
001P10006,경기 여주시,1,75,1,원주 우편집중국,6,18,256,5,중부권 광역우편물류센터,35,59,261,3,의정부 우편집중국,76,88,55,1,강원 철원군,92
001P10007,경기 시흥시,1,53,2,부천 우편집중국,5,17,253,7,중부권 광역우편물류센터,34,58,199,4,광주 우편집중국,71,83,92,1,전남 곡성군,89
001P10008,인천 미추홀구,1,61,1,부천 우편집중국,5,17,253,7,중부권 광역우편물류센터,34,58,290,5,영암 우편집중국,77,89,45,1,전남 신안군,92
001P10009,전북 고창군,1,234,1,진주 우편집중국,17,29,202,21,중부권 광역우편물류센터,42,87,192,13,대구 우편집중국,100,112,79,2,경북 청도군,117
001P10010,경북 안동시,1,30,1,안동 우편집중국,3,15,216,1,중부권 광역우편물류센터,29,53,216,2,안동 우편집중국,67,79,57,1,경북 영주시,83
001P10011,인천 강화군,1,96,2,부천 우편집중국,7,19,253,14,중부권 광역우편물류센터,36,60,202,14,진주 우편집중국,73,85,214,2,전북 전주시 완산구,99
001P10012,경북 의성군,1,70,1,안동 우편집중국,6,18,216,3,중부권 광역우편물류센터,32,56,253,7,부천 우편집중국,73,85,47,1,인천 서구,88
001P10013,충북 영동군,1,164,1,천안 우편집중국,12,24,133,4,중부권 광역우편물류센터,33,57,233,1,순천 집중과,73,85,47,1,전남 광양시,88
001P10014,부산 영도구,1,70,1,부산 우편집중국,6,18,295,6,중부권 광역우편물류센터,38,62,199,10,광주 우편집중국,75,87,150,1,광주 서구,97
001P10015,전남 해남군,1,50,1,영암 우편집중국,4,16,290,2,중부권 광역우편물류센터,35,59,268,4,고양 우편집중국,77,89,39,1,서울 은평구,92
001P10016,부산 금정구,1,60,1,부산 우편집중국,5,17,295,2,중부권 광역우편물류센터,37,61,218,16,성남 우편집중국,76,88,56,3,경기 안양시 만안구,92
001P10017,경남 창원시 진해구,1,80,1,창원 우편집중국,6,18,251,5,중부권 광역우편물류센터,35,59,268,4,고양 우편집중국,77,89,42,1,서울 마포구,92
001P10018,충북 청주시 상당구,1,65,1,청주 우편집중국,5,17,100,1,중부권 광역우편물류센터,24,48,216,1,안동 우편집중국,62,74,119,1,경북 문경시,82
001P10019,충북 옥천군,1,135,1,천안 우편집중국,10,22,133,2,중부권 광역우편물류센터,31,55,192,2,대구 우편집중국,68,80,88,1,경북 성주군,86
001P10020,경남 남해군,1,73,1,진주 우편집중국,6,18,202,1,중부권 광역우편물류센터,31,55,256,3,원주 우편집중국,72,84,150,1,강원 인제군,94
001P10021,서울 영등포구,1,36,1,부천 우편집중국,3,15,253,1,중부권 광역우편물류센터,32,56,248,2,동서울 우편집중국,73,85,79,1,서울 서초구,90
001P10022,강원 양구군,1,108,1,원주 우편집중국,8,20,256,8,중부권 광역우편물류센터,37,61,268,7,고양 우편집중국,79,91,42,2,서울 마포구,94
001P10023,경북 경산시,1,54,1,대구 우편집중국,5,17,192,2,중부권 광역우편물류센터,30,54,218,3,성남 우편집중국,69,81,56,1,서울 금천구,85
001P10024,경남 거창군,1,124,1,진주 우편집중국,9,21,202,5,중부권 광역우편물류센터,34,58,251,4,창원 우편집중국,75,87,30,1,경남 창원시 마산합포구,89
001P10025,인천 강화군,1,96,2,부천 우편집중국,7,19,253,14,중부권 광역우편물류센터,36,60,202,14,진주 우편집중국,73,85,270,1,전북 부안군,103
001P10026,강원 원주시,1,30,1,원주 우편집중국,3,15,256,1,중부권 광역우편물류센터,32,56,218,6,성남 우편집중국,71,83,51,1,서울 동작구,86
001P10027,부산 중구,1,70,1,부산 우편집중국,6,18,295,6,중부권 광역우편물류센터,38,62,218,20,성남 우편집중국,77,89,64,1,경기 용인시 처인구,93
001P10028,전남 목포시,1,45,1,영암 우편집중국,4,16,290,2,중부권 광역우편물류센터,35,59,261,3,의정부 우편집중국,76,88,68,1,경기 의정부시,93
001P10029,전북 순창군,1,169,1,진주 우편집중국,12,24,202,8,중부권 광역우편물류센터,37,61,218,16,성남 우편집중국,76,88,60,1,경기 광명시,92
001P10030,충남 보령시,1,190,1,대전 우편집중국,14,26,53,5,중부권 광역우편물류센터,30,54,216,3,안동 우편집중국,68,80,57,1,경북 봉화군,84
001P10031,경기 이천시,1,94,1,성남 우편집중국,7,19,218,5,중부권 광역우편물류센터,34,58,53,2,대전 우편집중국,62,74,76,1,충남 공주시,79
001P10032,전남 구례군,1,128,1,광주 우편집중국,10,22,199,6,중부권 광역우편물류센터,35,59,229,5,수원 우편집중국,74,86,86,3,경기 오산시,92
001P10033,경남 창원시 성산구,1,75,1,창원 우편집중국,6,18,251,5,중부권 광역우편물류센터,35,59,318,2,울산 우편집중국,80,92,30,1,울산 동구,94
001P10034,경남 양산시,1,94,1,울산 우편집중국,7,19,318,2,중부권 광역우편물류센터,40,87,199,14,광주 우편집중국,100,112,70,4,전남 담양군,117
002P10001,서울 종로구,2,84,1,동서울 우편집중국,8,20,248,6,중부권 광역우편물류센터,37,61,248,11,동서울 우편집중국,78,90,30,1,서울 광진구,92
002P10002,서울 강북구,2,64,2,의정부 우편집중국,6,18,261,5,중부권 광역우편물류센터,35,59,218,10,성남 우편집중국,74,86,56,2,경기 안양시 만안구,90
002P10003,충북 보은군,2,87,2,청주 우편집중국,8,20,100,7,중부권 광역우편물류센터,27,51,202,4,진주 우편집중국,64,76,102,1,경남 함양군,83
002P10004,경북 경주시,2,226,1,포항 우편집중국,17,29,271,9,중부권 광역우편물류센터,47,111,256,2,원주 우편집중국,128,140,124,4,강원 정선군,148
002P10005,대구 달서구,2,48,1,대구 우편집중국,5,17,192,2,중부권 광역우편물류센터,30,54,295,1,부산 우편집중국,74,86,70,1,부산 중구,91
002P10006,강원 인제군,2,150,1,원주 우편집중국,12,24,256,16,중부권 광역우편물류센터,41,87,100,10,청주 우편집중국,94,106,44,1,충북 충주시,109
002P10007,충북 음성군,2,97,1,청주 우편집중국,8,20,100,7,중부권 광역우편물류센터,27,51,192,1,대구 우편집중국,64,76,50,1,대구 동구,79
002P10008,경남 밀양시,2,74,1,부산 우편집중국,7,19,295,10,중부권 광역우편물류센터,39,63,248,15,동서울 우편집중국,80,92,84,2,서울 성동구,98
