택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,경남 창원시 의창구,1,35,6,창원 우편집중국,3,15,251,10,중부권 광역우편물류센터,28,40,253,48,부천 우편집중국,53,65,96,3,인천 강화군,70
001P10002,충남 태안군,1,128,4,천안 우편집중국,7,19,133,29,중부권 광역우편물류센터,26,38,229,6,수원 우편집중국,49,61,77,1,경기 수원시 장안구,65
001P10003,경기 수원시 권선구,1,77,5,수원 우편집중국,5,17,229,18,중부권 광역우편물류센터,28,40,290,17,영암 우편집중국,54,66,45,2,전남 목포시,68
001P10004,충남 공주시,1,76,3,대전 우편집중국,5,17,53,30,중부권 광역우편물류센터,20,32,253,4,부천 우편집중국,45,57,61,1,인천 미추홀구,60
001P10005,경기 광명시,1,60,3,성남 우편집중국,4,16,218,24,중부권 광역우편물류센터,27,39,133,23,천안 우편집중국,46,58,154,2,충남 홍성군,66
001P10006,인천 옹진군,1,66,4,부천 우편집중국,4,16,253,27,중부권 광역우편물류센터,29,41,192,60,대구 우편집중국,51,63,54,4,경북 경산시,66
001P10007,부산 부산진구,1,70,1,부산 우편집중국,5,17,295,35,중부권 광역우편물류센터,32,44,133,57,천안 우편집중국,51,63,30,4,충남 천안시 동남구,65
001P10008,광주 서구,1,150,4,광주 우편집중국,9,21,199,69,중부권 광역우편물류센터,31,43,216,34,안동 우편집중국,54,66,90,1,경북 영양군,70
001P10009,전남 광양시,1,47,1,순천 집중과,3,15,233,3,중부권 광역우편물류센터,27,39,202,26,진주 우편집중국,49,61,214,1,전북 전주시 완산구,72
001P10010,대구 달성군,1,54,3,대구 우편집중국,4,16,192,29,중부권 광역우편물류센터,26,38,256,23,원주 우편집중국,51,63,108,2,강원 춘천시,68
