episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
1,190.153260431464,189.23735544855,46734612,0.17823312,434,346,315,315,242,252,239,292,3.7142857142857144,4.428571428571429,7.714285714285714,2.7142857142857144,5.714285714285714,4.428571428571429,2.4285714285714284,6.0,2.142857142857143,3.5714285714285716,2.2857142857142856,1.2857142857142858,0.2857142857142857,3.4285714285714284,1.0,4.0,0.8571428571428571,2.857142857142857,0.7142857142857143,0.8571428571428571,1.1428571428571428,1.1428571428571428,5.428571428571429,1.7142857142857142
2,200.4061288438467,199.01921272179092,24727090,0.20439301,254,265,257,240,180,200,184,223,3.1666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,6.833333333333333,1.3333333333333333,4.5,4.166666666666667,3.3333333333333335,1.6666666666666667,0.16666666666666666,1.1666666666666667,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.1666666666666665,1.5,1.5,2.6666666666666665,1.0,2.0,4.166666666666667,2.1666666666666665
3,195.0749825110555,193.74312042030613,44201619,0.16741519,430,329,273,296,231,267,221,276,3.7142857142857144,2.7142857142857144,6.714285714285714,4.0,8.285714285714286,5.714285714285714,4.857142857142857,6.0,5.571428571428571,1.5714285714285714,4.857142857142857,2.2857142857142856,1.0,4.0,2.142857142857143,3.2857142857142856,1.5714285714285714,3.0,2.4285714285714284,1.4285714285714286,3.142857142857143,1.1428571428571428,3.857142857142857,1.7142857142857142
4,192.52422491856237,191.83722878598812,38382982,0.16763537,412,332,318,286,241,256,232,284,4.0,3.8333333333333335,4.0,2.8333333333333335,6.5,7.166666666666667,2.3333333333333335,4.333333333333333,6.0,3.8333333333333335,2.5,1.5,0.5,1.5,0.16666666666666666,2.6666666666666665,1.1666666666666667,4.5,3.0,1.5,1.1666666666666667,2.0,4.833333333333333,1.5
5,210.72633815471806,209.46913378329756,32421813,0.19132438,307,293,267,271,231,265,239,238,2.3333333333333335,4.5,2.6666666666666665,3.1666666666666665,2.6666666666666665,6.833333333333333,2.0,3.3333333333333335,1.3333333333333333,2.5,2.8333333333333335,1.5,0.5,1.1666666666666667,1.5,2.0,1.0,2.0,1.8333333333333333,3.1666666666666665,1.3333333333333333,0.3333333333333333,3.6666666666666665,0.8333333333333334
6,190.70835363575418,189.25055114527905,29677681,0.1728342,333,245,294,236,237,256,200,272,1.8333333333333333,0.6666666666666666,5.166666666666667,2.5,3.5,2.5,0.5,2.0,3.5,1.5,3.5,2.8333333333333335,0.8333333333333334,2.0,0.0,2.8333333333333335,1.5,2.3333333333333335,2.5,0.8333333333333334,0.6666666666666666,1.3333333333333333,1.5,0.8333333333333334
7,198.49788072682162,195.94695924074188,36250997,0.16303861,374,312,262,264,240,235,243,292,4.5,6.0,11.666666666666666,3.8333333333333335,4.5,4.166666666666667,1.1666666666666667,7.333333333333333,3.6666666666666665,2.8333333333333335,2.3333333333333335,0.3333333333333333,0.16666666666666666,2.8333333333333335,0.6666666666666666,2.8333333333333335,2.0,2.5,1.3333333333333333,1.6666666666666667,2.1666666666666665,1.3333333333333333,5.333333333333333,2.0
8,212.27888161013138,210.6554919339481,31632625,0.19606122,298,244,242,266,242,250,211,232,3.6666666666666665,3.5,4.833333333333333,3.5,4.0,6.166666666666667,3.1666666666666665,7.333333333333333,4.833333333333333,2.6666666666666665,3.1666666666666665,1.0,2.1666666666666665,2.3333333333333335,0.3333333333333333,3.0,2.0,0.6666666666666666,2.1666666666666665,1.0,0.8333333333333334,1.3333333333333333,2.6666666666666665,1.6666666666666667
9,199.37538380750323,197.96346593189728,32416586,0.17196834,359,269,334,267,215,248,225,269,3.1666666666666665,2.5,6.833333333333333,3.3333333333333335,3.5,3.8333333333333335,3.6666666666666665,3.5,3.8333333333333335,4.5,3.6666666666666665,0.8333333333333334,1.0,2.6666666666666665,0.0,2.0,1.0,3.5,1.6666666666666667,2.5,1.0,0.6666666666666666,3.5,1.5
10,198.64322795887765,197.27339544042215,29470176,0.17943951,360,284,237,239,223,249,178,269,5.166666666666667,3.3333333333333335,4.166666666666667,4.5,5.0,6.333333333333333,2.3333333333333335,5.5,3.1666666666666665,3.0,3.3333333333333335,2.3333333333333335,1.0,1.6666666666666667,0.8333333333333334,2.6666666666666665,2.3333333333333335,2.6666666666666665,1.0,2.8333333333333335,2.6666666666666665,3.1666666666666665,5.833333333333333,1.1666666666666667
